There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0611,Lullaby,Eastern Africa,Basoga,soga1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/soga1242,Sirikawo,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Lullaby //GLOBAL JUKEBOX, CODING ID 1914, AUDIO FILE ID T5441R02//","Group of lullabies; performed by wife of the chief and her children //GLOBAL JUKEBOX, CODING ID 1914, AUDIO FILE ID T5441R02//",1,,ERA,CMB
NHS2-0586,Mourning,Eastern Africa,Wahehe,hehe1240,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hehe1240,Tukhongine Tulauya,N/A,The song is identified as such in its title or label,"Mourning song //GLOBAL JUKEBOX, CODING ID 2688, AUDIO FILE ID T5441R24//",N/A,1,,ERA,JSL
NHS2-0564,Play,Eastern Africa,Acholi,acol1236,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/acol1236,Awitola yu kileru tol ma kititino,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Children's Play Song //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, SHELF MARK C23/18//","Children's counting song; Counting out children's legs. At the end the one left has melody while two toes are moved on the left leg. So different girls sing in turn. //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, SHELF MARK C23/18//",1,,ERA,LGY
NHS2-0567,Play,Eastern Africa,Alur,alur1250,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/alur1250,Owekuwe wek acora kuno,NA,The song is identified as such in its title or label,"Play Song //BRITISH LIBRARY, PETER COOKE UGANDA RECORDINGS, OWEKUWE WEK ACORA KUNO, SHELF MARK C23/21//",NA,1,,ERA,LGY
NHS2-0577,Play,Eastern Africa,Baganda,gand1255,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gand1255,Kongojjo,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Children's Play Song //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, KONGOJJO, SHELF MARK C23/9//","Children's play song. Children's game which is played during song is explained before song is performed. Song is performed unaccompanied. Performer's note: Both performers are primary school teachers. //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, KONGOJJO, SHELF MARK C23/9//",1,,ERA,LGY
NHS2-0594,Play,Eastern Africa,Karamojong,kara1483,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kara1483,Ngidwe alore oye (Potu ataboliata) - Chidren of our village (come out to play),NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Play Song //BRITISH LIBRARY, KENNETH GOURLAY UGANDA COLLECTION, SHELF MARK 2CDR0006157//","Girls of Classes P1 and P2; Songs sung by chidren or girls. //BRITISH LIBRARY, KENNETH GOURLAY UGANDA COLLECTION, SHELF MARK 2CDR0006157//",1,,ERA,LGY
NHS2-0598,Play,Eastern Africa,Sebei,kups1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kups1238,"Kemale konyo sakatyet, sinya sinya sakatyet",NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Children's game song //BRITISH LIBRARY, KLAUS WACHSMANN UGANDA FIELD RECORDINGS, KEMALE KONYO SAKATYET, SINYA SINYA SAKATYET//","""a children's song with jumping action"" //BRITISH LIBRARY, KLAUS WACHSMANN UGANDA FIELD RECORDINGS, KEMALE KONYO SAKATYET, SINYA SINYA SAKATYET//",1,,ERA,LGY
NHS2-0612,Play,Eastern Africa,Basoga,soga1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/soga1242,"Kamama kato, kaga kati",NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Children's game songs //BRITISH LIBRARY, KAMAMA KATO, KAGA KATI - KLAUS WACHSMANN UGANDA FIELD RECORDINGS//","""In this game children tease each other in polygamous households. Your mother is very old, your mother is as small as this (to mean she is small and thus young?)."" //BRITISH LIBRARY, KAMAMA KATO, KAGA KATI - KLAUS WACHSMANN UGANDA FIELD RECORDINGS//",1,,ERA,CMB
NHS2-0570,Praise,Eastern Africa,Amhara,amha1245,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/amha1245,Song for the Emperor,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Praise Song //GLOBAL JUKEBOX, CODING ID 9208, AUDIO FILE ID T5523R23//","Song praising the Emperor Haile Selassie //GLOBAL JUKEBOX, CODING ID 9208, AUDIO FILE ID T5523R23//",1,,ERA,LGY
NHS2-0581,Praise,Eastern Africa,Hamar,hame1242,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hame1242,Praise Song to Nazir Mansour of Hamar,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Praise song //GLOBAL JUKEBOX, CODING ID 4224, AUDIO FILE ID T5625R14m//","Praise song to Nazir //GLOBAL JUKEBOX, CODING ID 4224, AUDIO FILE ID T5625R14m//",1,,ERA,GGJ
NHS2-0593,Praise,Eastern Africa,Nuba,kada1282,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,lago1242,https://glottolog.org/resource/languoid/id/kada1282,Praise to Nyama Boys in Southern Sudan in Revolution,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Praise song //GLOBAL JUKEBOX CODING ID 4185 GENRE//,Praise song //GLOBAL JUKEBOX CODING ID 4185 DESCRIPTION//,1,,MJW,GGJ
NHS2-0597,Praise,Eastern Africa,Kipsigis,kips1239,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kips1239,Kang'et Chorwet,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Praise song //GLOBAL JUKEBOX, CODING ID 9456, AUDIO FILE ID T9527R69//","Praise song with lyre //GLOBAL JUKEBOX, CODING ID 9456, AUDIO FILE ID T9527R69//",1,,ERA,GGJ
NHS2-0604,Praise,Eastern Africa,Chagga,moch1256,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,chag1250,https://glottolog.org/resource/languoid/id/moch1256,Lenga he,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Praise song //GLOBAL JUKEBOX, CODING ID 1905, AUDIO FILE ID T5441R21//","Party song used as praise song for chief //GLOBAL JUKEBOX, CODING ID 1905, AUDIO FILE ID T5441R21//",1,,ERA,CMB
NHS2-0608,Praise,Eastern Africa,Luo,pari1256,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/pari1256,"Wiang, Wiang",NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Praise song; chief's song //GLOBAL JUKEBOX CODING ID 1967 GENRE//,Praise song for a good chief //GLOBAL JUKEBOX CODING ID 1967 DESCRIPTION//,1,,MJW,CMB
NHS2-0615,Praise,Eastern Africa,Dinka,sout2832,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sout2832,Praise for a Bull,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Praise song; animal song //GLOBAL JUKEBOX CODING ID 2054 GENRE//,Song in praise of a bull //GLOBAL JUKEBOX CODING ID 2054 DESCRIPTION//,1,,MJW,CMB
NHS2-0618,Praise,Eastern Africa,Nuba,talo1250,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,narr1279,https://glottolog.org/resource/languoid/id/talo1250,Song Praising a Rich Cotton Grower,NA,The song is identified as such in its title or label The song is identified as such in its title or label,Praise song //GLOBAL JUKEBOX CODING ID 4183 GENRE//,Praise song //GLOBAL JUKEBOX CODING ID 4183 DESCRIPTION//,1,,MJW,CMB
NHS2-0621,Praise,Eastern Africa,Nuba,wali1262,Yes,SON,Yes,Yes,Not problematic,Not problematic,Maybe problematic,Global jukebox says Miri,https://glottolog.org/resource/languoid/id/wali1262,"Praise to Abunoass, Brave Nuba Thief",NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Praise song //GLOBAL JUKEBOX CODING ID 4190 GENRE//,Praise song //GLOBAL JUKEBOX CODING ID 4190 DESCRIPTION//,1,,MJW,CMB
NHS2-0572,Procession,Eastern Africa,Dizi,dizi1235,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/dizi1235,Wedding Music,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Processional music //GLOBAL JUKEBOX, CODING ID 9423, AUDIO FILE ID T5553R06//","performed in procession //GLOBAL JUKEBOX, CODING ID 9423, AUDIO FILE ID T5553R06//",1,,ERA,LGY
NHS2-0582,Procession,Eastern Africa,Hamar,hame1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hame1242,Hassiss,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Processional music //GLOBAL JUKEBOX, CODING ID 4220, AUDIO FILE ID T5625R19m//","a procession of a groom and his friends play at whipping each other //GLOBAL JUKEBOX, CODING ID 4220, AUDIO FILE ID T5625R19m//",1,,ERA,GGJ
NHS2-0595,Procession,Eastern Africa,Jie,kara1483,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kara1483,Ho lokollel i yo ob,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Marriage song //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, SHELF MARK C23/18, HO LOLOLLEL I YO OB//","performed when dowry is brought //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, SHELF MARK C23/18, HO LOLOLLEL I YO OB//",1,,ERA,LGY
NHS2-0574,Story,Eastern Africa,Gamo,gamo1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/gamo1243,Gamo Story,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Story song //GLOBAL JUKEBOX, CODING ID 4354, AUDIO FILE ID T5553R31//","Man telling story with audience interjections //GLOBAL JUKEBOX, CODING ID 4354, AUDIO FILE ID T5553R31//",1,,ERA,GGJ
NHS2-0590,Story,Eastern Africa,Bahima,hema1238,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/hema1238,Narrative Song,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Narrative song //GLOBAL JUKEBOX, CODING ID 438, AUDIO FILE ID T5440R24//","Narrative song from the kraal //GLOBAL JUKEBOX, CODING ID 438, AUDIO FILE ID T5440R24//",1,,ERA,GGJ
NHS2-0599,Story,Eastern Africa,Ma'di,madi1260,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/madi1260,Lowi zi bara alu alu. Jale a dri kwa ni olere dro,N/A,"The song is identified as such in its title or label, The lyrics made it clear to me what type of song this is","Story song //BRITISH LIBRARY, PETER COOKE UGANDA COLLECTION, SHELF MARK C23/22, LOWI ZI BARA ALU ALU//",N/A,1,,ERA,CMB
NHS2-0603,Story,Eastern Africa,Maasai,masa1300,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/masa1300,Embrukoi Ongisho,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Narrative Song //GLOBAL JUKEBOX, CODING ID 2290, AUDIO FILE ID T5438R22//","song in narrative style //GLOBAL JUKEBOX, CODING ID 2290, AUDIO FILE ID T5438R22//",1,,ERA,GGJ
NHS2-0619,Story,Eastern Africa,Nuba,talo1250,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/talo1250,History of War Between Nuba Groups in Talodi Area,NA,The song is identified as such in its title or label,"Epic song; historical song //GLOBAL JUKEBOX: CODING ID 4180, GENRE//",NA,1,,MJW,CMB
NHS2-0562,Work,Eastern Africa,Aari,aari1239,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/aari1239,Wbabi Bona Monde,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Work song //GLOBAL JUKEBOX, CODING ID 30073, AUDIO FILE ID T30073//","Work song; call and response; males and females singing while harvesting barley //GLOBAL JUKEBOX, CODING ID 30073, AUDIO FILE ID T30073//",1,,ERA,JSL
NHS2-0566,Work,Eastern Africa,Afar,afar1241,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/afar1241,Song to Make Camels Drink,N/A,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","Work song //GLOBAL JUKEBOX, CODING ID 2046, AUDIO FILE ID T9536R10//","Song to make camels drink; work song showing the responsorial form of sub-Saharan African singers //GLOBAL JUKEBOX, CODING ID 2046, AUDIO FILE ID T9536R10//",1,,ERA,LGY
